genes	logFC	logCPM	F	PValue	FDR
ENSG00000167780.11	ENSG00000167780.11	2.08844984588118	0.980499726094796	46.3472550797439	9.95069501499711e-12	5.16442783962518e-10
ENSG00000185697.16	ENSG00000185697.16	2.04625322973998	6.57665105217296	225.438237320379	6.55126915935042e-51	5.48741583975146e-48
ENSG00000137841.11	ENSG00000137841.11	2.04268771953324	1.53545000342932	59.7598573504889	1.07989552468961e-14	7.89410173369466e-13
ENSG00000005187.11	ENSG00000005187.11	2.03433485878769	0.531053912241261	34.3268587298405	4.67112099119262e-09	1.6878727665479e-07
ENSG00000010030.13	ENSG00000010030.13	2.03413120049495	0.0311765825590392	25.2146441793924	5.13641683748306e-07	1.36221207842977e-05
ENSG00000023445.13	ENSG00000023445.13	2.01185812777404	2.25773508763144	79.8314725501766	4.13301163068026e-19	4.5818688496887e-17
ENSG00000095303.14	ENSG00000095303.14	2.0066905025185	0.0102308453890423	24.3463387778389	8.05864886763328e-07	2.06457517378601e-05
ENSG00000117407.16	ENSG00000117407.16	2.00139648048121	2.21990339807933	77.4839962641446	1.35520203078982e-18	1.41645622310004e-16
ENSG00000092421.16	ENSG00000092421.16	1.99944537317301	4.77129470837238	169.937059568131	8.11314318807254e-39	3.49491028133056e-36
ENSG00000138496.16	ENSG00000138496.16	1.98921519742171	6.26899214284559	208.886394367767	2.63288992969296e-47	1.7642702875547e-44
ENSG00000108771.12	ENSG00000108771.12	1.98782872303226	1.80088941002767	64.0317367707474	1.23508036507703e-15	9.85254320860656e-14
ENSG00000101000.5	ENSG00000101000.5	1.98339724363579	3.72806917834516	130.639779325378	3.07721332880836e-30	7.9991629928351e-28
ENSG00000170542.5	ENSG00000170542.5	1.89938236894615	2.85089795363734	90.633506892199	1.7594070093929e-21	2.35268997610791e-19
ENSG00000170476.15	ENSG00000170476.15	1.88978547015728	0.354203224552777	27.3429724827225	1.70665790985788e-07	4.89886364720176e-06
ENSG00000168016.13	ENSG00000168016.13	1.88674049795011	4.76450857748174	153.468530173919	3.17933063220933e-35	1.12128112144608e-32
ENSG00000197653.14	ENSG00000197653.14	1.87135350180985	0.171398383452445	24.1793577641378	8.78830475899346e-07	2.22784818581495e-05
ENSG00000137198.9	ENSG00000137198.9	1.86315382838645	3.32972131292835	103.676856881904	2.43623523766009e-24	4.20987033561044e-22
ENSG00000133321.10	ENSG00000133321.10	1.84755387904005	0.239596669445697	24.6286322739622	6.96056582815209e-07	1.80007634633017e-05
ENSG00000006210.6	ENSG00000006210.6	1.8457776730387	2.90186341189991	88.4399583941453	5.32769643657056e-21	6.93958351396754e-19
